run_id,profile_id,family,subtype,currency,currency_pair,timing_cv_scenario,timing_CV,tenor_months,h_R_k,h_C_k,alpha_R_k,alpha_C_k,alpha_D_k,fx_debt_service_share_k,delta_CF_k,delta_op_eff_k,delta_net_k,omega_t,E_t,Q_plus,Q_minus,lambda,H_t,direction,sigma_Q,rho,c,g_NR,g_PAE,g_TE,g_AEO,g_ACC,g_EXT,g_CIRC
20260510_232418,1,importer,0000011,EUR,EUR_TND,low,0.25,1,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,2.0169577549553473e-05,-1.3322798009782686e-06,0.0,1.3322798009782686e-06,0.4114894986562431,5.482191473743871e-07,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,low,0.25,2,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,0.023893713386397317,-0.001578273597295346,0.0,0.001578273597295346,0.4114894986562431,0.0006494430112934473,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,low,0.25,3,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,0.37825915546514954,-0.024985502602778813,0.0,0.024985502602778813,0.4114894986562431,0.010281271939691711,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,low,0.25,6,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,0.5856661479875004,-0.038685548924537114,0.0,0.038685548924537114,0.4114894986562431,0.01591869713219934,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,low,0.25,9,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,0.012117966473414836,-0.0008004392715612364,0.0,0.0008004392715612364,0.4114894986562431,0.00032937235455950164,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,low,0.25,12,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,4.2847109988407154e-05,-2.8302198708724485e-06,0.0,2.8302198708724485e-06,0.4114894986562431,1.164605755752241e-06,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,baseline,0.4,1,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,0.01742875404472676,-0.0011512376455560332,0.0,0.0011512376455560332,0.4114894986562431,0.0004737222016040458,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,baseline,0.4,2,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,0.18132014178625114,-0.011976907390293166,0.0,0.011976907390293166,0.4114894986562431,0.004928371617483988,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,baseline,0.4,3,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,0.4165790177531603,-0.0275166799850099,0.0,0.0275166799850099,0.4114894986562431,0.011322824851716002,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
20260510_232418,1,importer,0000011,EUR,EUR_TND,baseline,0.4,6,0.061693581851446154,0.40845049862666616,0.45855094790458684,0.6347633485682309,0.5877498727291823,0.024518813345664726,-0.287140990925455,-0.04153511355017962,-0.06605392689584436,0.32390791730472945,-0.021395389890631798,0.0,0.021395389890631798,0.4114894986562431,0.008803978259650931,outflow,0.3909640154071153,0.057634750753641106,4.819259035401046,0,0,0,0,0,1,1
