run_id,family,prior_label,regime_state,g_NR,g_PAE,g_TE,g_AEO,g_ACC,g_EXT,g_CIRC,score,probability
20260511_090143,trader,author_calibrated,0001100,0,0,0,1,1,0,0,1.38,0.03241419218375074
20260511_090143,trader,author_calibrated,0001101,0,0,0,1,1,0,1,1.311,0.030793482574563203
20260511_090143,trader,author_calibrated,0001110,0,0,0,1,1,1,0,1.518,0.035655611402125816
20260511_090143,trader,author_calibrated,0001111,0,0,0,1,1,1,1,1.4421,0.03387283083201952
20260511_090143,trader,author_calibrated,0100100,0,1,0,0,1,0,0,0.9774999999999999,0.022960052796823442
20260511_090143,trader,author_calibrated,0100101,0,1,0,0,1,0,1,0.9286249999999999,0.02181205015698227
20260511_090143,trader,author_calibrated,0100110,0,1,0,0,1,1,0,1.07525,0.02525605807650579
20260511_090143,trader,author_calibrated,0100111,0,1,0,0,1,1,1,1.0214874999999999,0.023993255172680496
20260511_090143,trader,author_calibrated,0101100,0,1,0,1,1,0,0,1.1729999999999998,0.027552063356188126
20260511_090143,trader,author_calibrated,0101101,0,1,0,1,1,0,1,1.1143499999999997,0.02617446018837872
20260511_090143,trader,author_calibrated,0101110,0,1,0,1,1,1,0,1.2903,0.030307269691806946
20260511_090143,trader,author_calibrated,0101111,0,1,0,1,1,1,1,1.225785,0.028791906207216594
20260511_090143,trader,author_calibrated,0110100,0,1,1,0,1,0,0,0.6842499999999999,0.016072036957776408
20260511_090143,trader,author_calibrated,0110101,0,1,1,0,1,0,1,0.6500374999999999,0.015268435109887589
20260511_090143,trader,author_calibrated,0110110,0,1,1,0,1,1,0,0.752675,0.01767924065355405
20260511_090143,trader,author_calibrated,0110111,0,1,1,0,1,1,1,0.71504125,0.016795278620876347
20260511_090143,trader,author_calibrated,0111100,0,1,1,1,1,0,0,0.8210999999999999,0.019286444349331692
20260511_090143,trader,author_calibrated,0111101,0,1,1,1,1,0,1,0.7800449999999999,0.018322122131865105
20260511_090143,trader,author_calibrated,0111110,0,1,1,1,1,1,0,0.90321,0.02121508878426486
20260511_090143,trader,author_calibrated,0111111,0,1,1,1,1,1,1,0.8580494999999999,0.020154334345051615
20260511_090143,trader,author_calibrated,1100100,1,1,0,0,1,0,0,0.537625,0.012628029038252895
20260511_090143,trader,author_calibrated,1100101,1,1,0,0,1,0,1,0.5107437499999999,0.011996627586340248
20260511_090143,trader,author_calibrated,1100110,1,1,0,0,1,1,0,0.5913875000000001,0.013890831942078184
20260511_090143,trader,author_calibrated,1100111,1,1,0,0,1,1,1,0.5618181250000001,0.013196290344974276
20260511_090143,trader,author_calibrated,1101100,1,1,0,1,1,0,0,0.64515,0.015153634845903473
20260511_090143,trader,author_calibrated,1101101,1,1,0,1,1,0,1,0.6128925,0.014395953103608297
20260511_090143,trader,author_calibrated,1101110,1,1,0,1,1,1,0,0.7096650000000001,0.01666899833049382
20260511_090143,trader,author_calibrated,1101111,1,1,0,1,1,1,1,0.67418175,0.015835548413969128
20260511_090143,trader,author_calibrated,1110100,1,1,1,0,1,0,0,0.37633749999999994,0.008839620326777023
20260511_090143,trader,author_calibrated,1110101,1,1,1,0,1,0,1,0.3575206249999999,0.008397639310438172
20260511_090143,trader,author_calibrated,1110110,1,1,1,0,1,1,0,0.41397124999999996,0.009723582359454728
20260511_090143,trader,author_calibrated,1110111,1,1,1,0,1,1,1,0.39327268749999994,0.00923740324148199
20260511_090143,trader,author_calibrated,1111100,1,1,1,1,1,0,0,0.451605,0.01060754439213243
20260511_090143,trader,author_calibrated,1111101,1,1,1,1,1,0,1,0.42902474999999995,0.010077167172525808
20260511_090143,trader,author_calibrated,1111110,1,1,1,1,1,1,0,0.4967655,0.011668298831345675
20260511_090143,trader,author_calibrated,1111111,1,1,1,1,1,1,1,0.471927225,0.01108488388977839
